rank,name,address,phone,website,rating,reviews,dist_to_asadas_km,nearest_charger,dist_to_charger_m
1,Asadas Grill,"501 W Canyon Ridge Dr, Austin, TX 78753, USA",(512) 719-3390,https://www.asadas-grill.com/,4.5,2407,0.00,Tesla Supercharger,149
2,PINSTACK,"500 W Canyon Ridge Dr, Austin, TX 78753, USA",(512) 580-0555,https://pinstackbowl.com/,4.2,1032,0.15,Tesla Supercharger,80
3,Tech Ridge Center,"500 W Canyon Ridge Dr, Austin, TX 78753, USA",(713) 599-3500,https://www.regencycenters.com/property/detail/60572/Tech-Ridge-Center,4.3,4280,0.21,Tesla Supercharger,104
4,True Texas BBQ,"500 W Canyon Ridge Dr, Austin, TX 78753, USA",(737) 708-8900,https://www.truetxbbq.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_restaurant&utm_content=476TT,4.6,467,0.27,Tesla Supercharger,225
5,Tsukimi,"12400 N Interstate Hwy 35 A-111, Austin, TX 78753, USA",(512) 386-1037,https://www.tsukimiaustin.com/,4.3,825,0.42,Tesla Supercharger,284
6,OneTaco @ Techridge,"500 W Canyon Ridge Dr L400, Austin, TX 78753, USA",(512) 296-2538,http://www.eatonetaco.com/,4.4,377,0.43,Tesla Supercharger,320
7,AGS Spice Indian Cuisine,"500 W Canyon Ridge Dr suite#L275, Austin, TX 78753, USA",(210) 912-7740,https://www.mymozoorder.com/food/2758,0,0,0.45,Tesla Supercharger,344
8,Culinary Dropout,"11721 Rock Rose Ave #100, Austin, TX 78758, USA",(512) 777-3394,https://www.culinarydropout.com/locations/austin-tx/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,4.4,5973,4.75,Tesla Supercharger,327
9,Jeni's Splendid Ice Creams,"11601 Rock Rose Ave #110, Austin, TX 78758, USA",(737) 209-0336,https://jenis.com/scoop-shops/jenis-the-domain/,4.5,725,4.84,Tesla Supercharger,241
10,Houndstooth Coffee,"11501 Rock Rose Ave #118, Austin, TX 78758, USA",(512) 243-7963,http://houndstoothcoffee.com/?utm_source=google&utm_medium=organic&utm_campaign=googlebusiness,4.2,576,4.88,Tesla Supercharger,279
11,Haywire,"11501 Rock Rose Ave #100, Austin, TX 78758, USA",(512) 381-8880,https://www.haywirerestaurant.com/,4.5,498,4.89,Tesla Supercharger,293
12,JINYA Ramen Bar - Austin,"3210 Esperanza Crossing Suite 130, Austin, TX 78758, USA",(512) 829-7779,https://www.jinyaramenbar.com/locations/austin/?utm_medium=soci&utm_source=gmb,4.3,2908,4.93,Tesla Supercharger,282
13,Loro Asian Smokehouse & Bar,"11601 Domain Dr #200, Austin, TX 78758, USA",(512) 379-0027,http://www.loroeats.com/,4.2,395,4.96,Tesla Supercharger,117
14,Fleming’s Prime Steakhouse & Wine Bar,"11600 Century Oaks Terrace Suite 140, Austin, TX 78758, USA",(512) 835-9463,https://www.flemingssteakhouse.com/Locations/TX/Austin-The-Domain?y_source=1_MTU1MDMxNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.5,1589,5.14,Tesla Supercharger,111
15,Capitol City Comedy Club,"Bldg B, 11506 Century Oaks Terrace Unit 100, Austin, TX 78758, USA",(512) 467-2333,http://www.capcitycomedy.com/,4.4,2400,5.16,Tesla Supercharger,98
16,North Italia,"11506 Century Oaks Terrace Suite 124, Austin, TX 78758, USA",(512) 339-4400,https://www.northitalia.com/locations/austin-tx-the-domain/,4.3,2919,5.18,Tesla Supercharger,123
17,Gloria's Latin Cuisine,"3309 Esperanza Crossing Suite #100 Suite 100, Austin, TX 78758, USA",(512) 833-6400,https://gloriascuisine.com/locations/austin-domain.html?utm_source=google&utm_medium=Yext&y_source=1_MjA1ODAzNTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.5,4238,5.19,Tesla Supercharger,293
18,Sweet Paris Crêperie & Cafe,"11410 Century Oaks Terrace #112, Austin, TX 78758, USA",(512) 551-3979,http://www.sweetparis.com/,4.4,1340,5.23,Tesla Supercharger,181
19,Plank Provisions,"11410 Century Oaks Terrace #136, Austin, TX 78758, USA",(737) 234-1122,https://plankprovisions.com/,4.4,1119,5.26,Tesla Supercharger,258
20,Sixty Vines,"3401 Esperanza Crossing, Austin, TX 78758, USA",(512) 381-6514,https://sixtyvines.com/,4.6,787,5.30,Tesla Supercharger,331
21,Zalat Pizza,"10515 N Mopac Expy STE 310, Austin, TX 78759, USA",(512) 729-0420,https://zalatpizza.com/,4.8,339,5.85,Tesla Supercharger,206
22,Purple Rice Korean Grab & Go,"10515 N Mopac Expy A-135, Austin, TX 78759, USA",(512) 820-5860,https://www.purple-rice.com/,4.9,130,6.00,Tesla Supercharger,134
23,EJ's Hot Pot & Sushi,"10515 N Mopac Expy A 150, Austin, TX 78759, USA",(512) 291-2560,,0,0,6.02,Tesla Supercharger,157
24,Masala Wok Indian + Asian Fare,"10515 N Mopac Expy Suite A - 155, Austin, TX 78759, USA",(512) 296-2977,https://www.masalawok.com/,4.1,1151,6.04,Tesla Supercharger,175
25,Mighty Fine Burgers Arbor Walk,"10515 N Mopac Expy Unit 205, Austin, TX 78759, USA",(512) 524-2400,https://www.mightyfineburgers.com/,4.5,2348,6.05,Tesla Supercharger,77
26,Bella Vita Ice Cream,"10515 N Mopac Expy Suite B215, Austin, TX 78759, USA",(917) 943-1753,https://www.bellavitaicecream.com/,4.9,423,6.06,Tesla Supercharger,97
27,Southside Market & BBQ - Austin at Arbor Walk,"10515 N Mopac Expy Suite B-225, Austin, TX 78759, USA",(512) 838-3600,https://www.southsidemarket.com/,4.1,599,6.08,Tesla Supercharger,113
28,Lupe Tortilla Mexican Restaurant,"10515 N Mopac Expy Bldg R, Austin, TX 78759, USA",(512) 582-2201,https://tex-mex.com/austin-arborwalk/,4.3,3618,6.20,Tesla Supercharger,392
