place_id,name,address,phone,website,types,rating,user_ratings_total,price_level,open_now,merchant_lat,merchant_lng,nearest_charger_id,nearest_charger_name,charger_lat,charger_lng,distance_to_charger_m,walk_time_min,corporate_likely,corporate_reason,needs_review,decision_friction,friction_reason,category,source,discovered_via_chargers
ChIJh91qhvy0RIYRqlF6u8rGJ3M,Mañana,"1603 S Congress Ave, Austin, TX 78704, USA",+1 512-872-3144,https://mananaaustin.com/,"coffee_shop,breakfast_restaurant,cafe,bakery,food_store,store,restaurant,food,point_of_interest,establishment",4.4,729,PRICE_LEVEL_MODERATE,yes,30.2473651,-97.7501159,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,23.196673013588665,0.2761508692093889,False,,False,0,independent,closeable,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
ChIJrzsiEerlQoYRTr_g_ZcscEg,The EVthing,"511 E Broadway St, Cuero, TX 77954, USA",+1 361-799-4016,https://evthing.com/?utm_source=google,"american_restaurant,hamburger_restaurant,sandwich_shop,restaurant,point_of_interest,food,establishment",4.6,219,PRICE_LEVEL_MODERATE,yes,29.0914186,-97.28452820000001,ChIJVVXZOt3kQoYR6_CNY9plmKg,EV Connect Charging Station,29.091254799999994,-97.28468679999999,23.9,0.28,False,,False,0,independent,closeable,google_places,"ChIJVVXZOt3kQoYR6_CNY9plmKg,ChIJYwHcOt3kQoYRkdafMfFbgkY"
ChIJCWV28GG1RIYRgQVJ_g48VJ0,watertrade,"1603 S Congress Ave, Austin, TX 78704, USA",+1 512-994-0428,http://otokoaustin.com/watertrade,"bar,point_of_interest,establishment",4.7,57,,no,30.2473651,-97.7501159,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,23.2,0.28,False,,False,0,independent,closeable,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
ChIJV-Nd977bRIYRzIzRUDvhin4,True Texas Tacos,"5008 Gattis School Rd, Hutto, TX 78634, USA",+1 512-520-1200,https://www.heb.com/static-page/true-texas-tacos?utm_source=google&utm_medium=organic&utm_campaign=gmb_restaurant&utm_content=ttt_fresh_bites,"restaurant,point_of_interest,food,establishment",3.9,17,,no,30.5028898,-97.5811363,ChIJVyDvKtPbRIYRV6nfph_Tyoo,Tesla Supercharger,30.5028119,-97.58090299999999,24.0,0.29,False,,False,0,independent,closeable,google_places,ChIJVyDvKtPbRIYRV6nfph_Tyoo
ChIJj-S3lK9jXIYR1gcDLefi2fw,Hangar 54 Pizza,"25580 Blanco Rd, San Antonio, TX 78260, USA",+1 210-455-8660,https://hangar54.pizza/location/bigs-210-san-antonio-tx/,"pizza_restaurant,fast_food_restaurant,american_restaurant,restaurant,food,point_of_interest,establishment",0,0,,yes,29.680690100000003,-98.5214639,ChIJa2heFdxiXIYRZ5B6sJF3QHU,ChargePoint Charging Station,29.680895099999997,-98.52137379999999,24.4,0.29,False,,False,0,independent,closeable,google_places,ChIJa2heFdxiXIYRZ5B6sJF3QHU
ChIJay_SbjuVQ4YRbgnwRz7gxIg,Turbo Joe's Pizzeria - Int'l Kitchen & Tea House,"100 Townsend Dr, Weimar, TX 78962, USA",+1 979-725-3004,http://turbojoespizzeriaik.com/,"restaurant,point_of_interest,food,establishment",4.9,221,,yes,29.692994,-96.77763060000001,ChIJ4zq6PZGUQ4YRvh5WVN1mE0Y,Tesla Supercharger,29.692891,-96.777389,26.0,0.31,False,,False,0,independent,closeable,google_places,ChIJ4zq6PZGUQ4YRvh5WVN1mE0Y
ChIJQwAt7WaoXIYRDjRJiOmWsI0,King of Snacks,"4015 S I-35 South Frontage Rd, San Marcos, TX 78666, USA",+1 210-552-8337,,"restaurant,food,point_of_interest,establishment",3.9,29,,unknown,29.8240775,-97.98732969999999,ChIJpY1Ro9ilXIYRTRVqx94UunY,ChargePoint Charging Station,29.824203,-97.9875612,26.33386953045959,0.3134984467911856,False,,False,0,independent,closeable,google_places,"ChIJpY1Ro9ilXIYRTRVqx94UunY,ChIJT_fAxdilXIYRAjLLE1pjHYI"
ChIJQz1e_kxLW4YRKRQH-iXUges,Lee’s Kitchen + Cocktails,"701 S Capital of Texas Hwy Suite G700, Austin, TX 78746, USA",+1 512-256-3918,http://leeskitchenatx.com/,"restaurant,point_of_interest,food,establishment",4.6,178,PRICE_LEVEL_MODERATE,yes,30.289906499999997,-97.8271905,ChIJJ6_0bN1LW4YRg8l9RLePwz8,Tesla Supercharger,30.289800000000003,-97.827474,29.7,0.35,False,,False,0,independent,closeable,google_places,ChIJJ6_0bN1LW4YRg8l9RLePwz8
ChIJ9XyTagBVW4YRuuL49v2LQWI,Bluefin Sushi & Ramen,"151 Evans Dr Suite 111, Kyle, TX 78640, USA",+1 512-256-5286,http://bluefinsushiramen.com/,"asian_restaurant,restaurant,point_of_interest,food,establishment",4,236,PRICE_LEVEL_MODERATE,yes,30.0128834,-97.86240319999999,ChIJd749_h9VW4YRo2JVbrw88f8,Tesla Supercharger,30.013033999999998,-97.8626748,31.1,0.37,False,,False,0,independent,closeable,google_places,ChIJd749_h9VW4YRo2JVbrw88f8
ChIJxbfJlaU1XIYRlIevp3w6k1s,San Juan Mexican Restaurant,"21561 FM471, Natalia, TX 78059, USA",+1 830-227-0164,,"mexican_restaurant,restaurant,food,point_of_interest,establishment",4.5,215,,yes,29.1858468,-98.8450364,ChIJQ6BpTtM1XIYRpnP2zHqSjgo,"Chubby's Travel Center, Valero Gas Station",29.1856082,-98.84480860000001,34.5,0.41,False,,False,0,independent,closeable,google_places,ChIJQ6BpTtM1XIYRpnP2zHqSjgo
