place_id,name,address,phone,website,types,rating,user_ratings_total,price_level,open_now,merchant_lat,merchant_lng,nearest_charger_id,nearest_charger_name,charger_lat,charger_lng,distance_to_charger_m,walk_time_min,corporate_likely,corporate_reason,needs_review,decision_friction,friction_reason,category,source,discovered_via_chargers
ChIJhxwKHX7LRIYR-elvz90dY3E,Estância Brazilian Steakhouse - Austin,"10000 Research Blvd Suite B, Austin, TX 78759, USA",+1 512-345-5600,http://estancia.com/,"steak_house,brazilian_restaurant,bar,restaurant,food,point_of_interest,establishment",4.8,10593,PRICE_LEVEL_EXPENSIVE,yes,30.3931997,-97.7474845,ChIJkxADC4HMRIYRcIuq34TOtbo,EVgo Charging Station,30.3933705,-97.7456109,180.7,2.15,False,,True,1,high_volume_check,review,google_places,ChIJkxADC4HMRIYRcIuq34TOtbo
ChIJ7ZDq_iNkXIYRrF-yw8jrbnY,Santikos Palladium,"17703 W Interstate 10 Frontage Rd, San Antonio, TX 78257, USA",+1 877-691-0734,https://www.santikos.com/san-antonio/palladium/theater-info/,"movie_theater,bar,restaurant,point_of_interest,food,establishment",4.5,6109,,yes,29.608533899999998,-98.59928520000001,ChIJwQAAByFkXIYRPW_fXcuKztw,Electrify America Charging Station,29.6072782,-98.598034,184.7,2.2,False,,True,1,high_volume_check,review,google_places,ChIJwQAAByFkXIYRPW_fXcuKztw
ChIJi2iRK7FgXIYR08zSa7vPsVw,Pasha Mediterranean Grill,"9339 Wurzbach Rd, San Antonio, TX 78240, USA",+1 210-561-5858,https://gopasha.com/,"mediterranean_restaurant,middle_eastern_restaurant,restaurant,point_of_interest,food,establishment",4.4,5343,PRICE_LEVEL_MODERATE,yes,29.529556499999998,-98.5640792,ChIJ-44hSrdgXIYRhlA0fN2F-sM,Shell Recharge Charging Station,29.530434999999997,-98.562394,190.1,2.26,False,,True,1,high_volume_check,review,google_places,ChIJ-44hSrdgXIYRhlA0fN2F-sM
ChIJ14gY_Py0RIYRUTA0uLXWlEw,Güero's Taco Bar,"1412 S Congress Ave, Austin, TX 78704, USA",+1 512-447-7688,http://www.guerostacobar.com/,"mexican_restaurant,american_restaurant,restaurant,food,point_of_interest,establishment",4.3,5183,PRICE_LEVEL_MODERATE,yes,30.2491468,-97.75028569999999,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,220.4,2.62,False,,True,1,high_volume_check,review,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
ChIJF5cph4ZmXIYRKPEBDBFb0bs,Whiskey Cake Kitchen & Bar,"15900 La Cantera Pkwy Suite 21200, San Antonio, TX 78256, USA",+1 210-236-8095,https://www.whiskeycake.com/,"american_restaurant,bar,restaurant,point_of_interest,food,establishment",4.6,5709,PRICE_LEVEL_MODERATE,yes,29.593155,-98.6115705,ChIJ2fq1YodmXIYR6yFRmrs_gk0,Shell Recharge Charging Station,29.593168499999994,-98.6138845,223.7,2.66,False,,True,1,high_volume_check,review,google_places,ChIJ2fq1YodmXIYR6yFRmrs_gk0
ChIJRZO95LZgXIYR3_wWuWqi_Hs,Mama Margies Mexican Restaurant,"9950 I-10, San Antonio, TX 78230, USA",+1 210-561-0400,,"mexican_restaurant,fast_food_restaurant,breakfast_restaurant,american_restaurant,restaurant,point_of_interest,food,establishment",4.2,6169,PRICE_LEVEL_INEXPENSIVE,yes,29.5320491,-98.56427269999999,ChIJ-44hSrdgXIYRhlA0fN2F-sM,Shell Recharge Charging Station,29.530434999999997,-98.562394,255.4,3.04,False,,True,1,high_volume_check,review,google_places,ChIJ-44hSrdgXIYRhlA0fN2F-sM
ChIJpxdcx6BgXIYRzQf22VoCcIM,Mamacita's Restaurant,"8030 I-10, San Antonio, TX 78230, USA",+1 210-341-5424,http://www.mamacitas.com/,"mexican_restaurant,restaurant,food,point_of_interest,establishment",4.3,5725,PRICE_LEVEL_MODERATE,yes,29.514875699999994,-98.5546615,ChIJeTskAaFgXIYRgHXHH_h82as,ChargePoint Charging Station,29.516683900000004,-98.55289719999999,263.8,3.14,False,,True,1,high_volume_check,review,google_places,ChIJeTskAaFgXIYRgHXHH_h82as
ChIJ9xofKrhlXIYR4VHqx5AjNoY,The Escape Game San Antonio,"5822 Worth Pkwy Suite 101, San Antonio, TX 78257, USA",+1 726-227-3834,https://theescapegame.com/san-antonio/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_id=san-antonio,"tourist_attraction,amusement_center,point_of_interest,establishment",5,9414,,yes,29.611297900000004,-98.5988885,ChIJJQMhbABlXIYRMLBxZOyvdpQ,Tesla Supercharger,29.612993999999997,-98.601275,298.0,3.55,False,,True,1,high_volume_check,review,google_places,"ChIJwQAAByFkXIYRPW_fXcuKztw,ChIJJQMhbABlXIYRMLBxZOyvdpQ"
ChIJJWETU6VlXIYROLwy-oVoshw,Sandbox VR,"5822 Worth Pkwy Suite 102, San Antonio, TX 78257, USA",+1 830-239-8229,https://sandboxvr.com/sanantonio,"amusement_center,video_arcade,point_of_interest,establishment",5,5269,,yes,29.611236599999998,-98.5988201,ChIJJQMhbABlXIYRMLBxZOyvdpQ,Tesla Supercharger,29.612993999999997,-98.601275,307.4,3.66,False,,True,1,high_volume_check,review,google_places,"ChIJwQAAByFkXIYRPW_fXcuKztw,ChIJJQMhbABlXIYRMLBxZOyvdpQ"
ChIJ1eAeVnLMRIYR_VB5FIj_LuE,Culinary Dropout,"11721 Rock Rose Ave #100, Austin, TX 78758, USA",+1 512-777-3394,https://www.culinarydropout.com/locations/austin-tx/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps,"american_restaurant,hamburger_restaurant,brunch_restaurant,event_venue,bar,restaurant,food_store,point_of_interest,food,store,establishment",4.4,5973,PRICE_LEVEL_MODERATE,yes,30.403472500000003,-97.72151230000001,ChIJAXjqO5nNRIYRi6myV5lMAJ0,Tesla Supercharger,30.402497,-97.72472599999999,326.7,3.89,False,,True,1,high_volume_check,review,google_places,ChIJAXjqO5nNRIYRi6myV5lMAJ0
