place_id,name,address,phone,website,types,rating,user_ratings_total,price_level,open_now,merchant_lat,merchant_lng,nearest_charger_id,nearest_charger_name,charger_lat,charger_lng,distance_to_charger_m,walk_time_min,corporate_likely,corporate_reason,needs_review,source,discovered_via_chargers
ChIJ2f0yzVZrRYYRZiw48gbEzlk,Midway Bar & Grill,"5247 S General Bruce Dr, Temple, TX 76502, USA",+1 254-778-5511,https://www.ihg.com/holidayinn/hotels/us/en/temple/tpltl/hoteldetail?fromRedirect=true&qSrt=sBR&qSlH=tpltl&setPMCookies=true&qSHBrC=HI&qDest=5247%20S.%20General%20Bruce%20Dr%2C%20Temple%2C%20TX%2C%20US&srb_u=1,"restaurant,point_of_interest,food,establishment",5,2,,no,31.083134200000003,-97.407304,ChIJnw9Zwe9qRYYR0gHgATzOx1Q,Universal EV Charging Station,31.083134,-97.407304,0.022238985588798697,0.0002647498284380797,False,,False,google_places,"ChIJnw9Zwe9qRYYR0gHgATzOx1Q,ChIJzeVSku5qRYYRyyhjWCFslDw,ChIJDzKpou5qRYYRVbGlb5HszvI"
ChIJZ-pMaDMLW4YRoazSJSvd9n0,The Spa at Carter Creek,"4064 US-290, Johnson City, TX 78636, USA",+1 830-856-2692,https://www.cartercreek.com/spa,"spa,point_of_interest,establishment",0,0,,no,30.260682999999997,-98.4804309,ChIJx928FqkKW4YR8JgtoTggZ7g,SWTCH Charging Station,30.2606006,-98.4804004,9.6,0.11,False,,False,google_places,ChIJx928FqkKW4YR8JgtoTggZ7g
ChIJfZdObPMdW4YRHT5uIkcEbBc,Lovely Nails - Marble Falls,"1806 N U.S. Hwy 281, Marble Falls, TX 78654, USA",+1 830-201-4413,,"beauty_salon,nail_salon,spa,point_of_interest,establishment",4.5,45,,yes,30.589308400000004,-98.27391399999999,ChIJHzfu_AIdW4YRf321j97BvRc,Apache Village Shops EV Charging Station,30.589257699999997,-98.2738261,10.1,0.12,False,,False,google_places,ChIJHzfu_AIdW4YRf321j97BvRc
ChIJAyog0ueXW4YRhKRVDHG3h-Y,Grape Creek Vineyards,"10587 US-290, Fredericksburg, TX 78624, USA",+1 830-644-2710,https://www.grapecreek.com/visit,"tourist_attraction,farm,restaurant,point_of_interest,food,establishment",4.8,13369,,yes,30.221446,-98.72027829999999,ChIJ_79IizuWW4YRnVy1Ayy-AzE,Tesla Destination Charger,30.221542199999995,-98.72031349999999,11.2,0.13,False,,True,google_places,ChIJ_79IizuWW4YRnVy1Ayy-AzE
ChIJ49i2tQdhXIYR49DtkksRQrI,Charlotte Tilbury,"7400 San Pedro Ave #104, San Antonio, TX 78216, USA",+1 210-541-0979,https://stores.charlottetilbury.com/us/tx/san-antonio/7400-san-pedro?y_source=1_MTQ5NzI4MTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"skin_care_clinic,makeup_artist,beauty_salon,clothing_store,health,store,point_of_interest,establishment",0,0,,yes,29.518526200000004,-98.49511559999999,ChIJUe4mdghgXIYRrRI94IU_jsk,Shell Recharge Charging Station,29.5185985,-98.49527649999999,17.5,0.21,False,,False,google_places,ChIJUe4mdghgXIYRrRI94IU_jsk
ChIJ80kBgqMLW4YRs1q0RTnsx_k,Carter Creek Winery Tasting Room,"4064 US-290, Johnson City, TX 78636, USA",+1 830-856-2707,http://cartercreek.com/,"wine_bar,liquor_store,farm,bar,store,point_of_interest,food,establishment",4.6,59,,yes,30.2605322,-98.48022809999999,ChIJx928FqkKW4YR8JgtoTggZ7g,SWTCH Charging Station,30.2606006,-98.4804004,18.2,0.22,False,,False,google_places,ChIJx928FqkKW4YR8JgtoTggZ7g
ChIJ6bmftUm1RIYRDYZi3BzhLjQ,South Congress Hotel Lobby Bar,"1603 S Congress Ave, Austin, TX 78704, USA",+1 512-920-6405,https://southcongresshotel.com/eat-drink,"bar,point_of_interest,establishment",4.7,35,,yes,30.2471499,-97.7502165,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,20.7,0.25,False,,False,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
ChIJh91qhvy0RIYRqlF6u8rGJ3M,Mañana,"1603 S Congress Ave, Austin, TX 78704, USA",+1 512-872-3144,https://mananaaustin.com/,"coffee_shop,bakery,breakfast_restaurant,cafe,food_store,store,restaurant,point_of_interest,food,establishment",4.4,729,PRICE_LEVEL_MODERATE,yes,30.2473651,-97.7501159,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,23.196673013588665,0.2761508692093889,False,,False,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
ChIJrzsiEerlQoYRTr_g_ZcscEg,The EVthing,"511 E Broadway St, Cuero, TX 77954, USA",+1 361-799-4016,https://evthing.com/?utm_source=google,"american_restaurant,hamburger_restaurant,sandwich_shop,restaurant,food,point_of_interest,establishment",4.6,219,PRICE_LEVEL_MODERATE,yes,29.0914186,-97.28452820000001,ChIJVVXZOt3kQoYR6_CNY9plmKg,EV Connect Charging Station,29.091254799999994,-97.28468679999999,23.9,0.28,False,,False,google_places,"ChIJVVXZOt3kQoYR6_CNY9plmKg,ChIJYwHcOt3kQoYRkdafMfFbgkY"
ChIJCWV28GG1RIYRgQVJ_g48VJ0,watertrade,"1603 S Congress Ave, Austin, TX 78704, USA",+1 512-994-0428,http://otokoaustin.com/watertrade,"bar,point_of_interest,establishment",4.7,57,,no,30.2473651,-97.7501159,ChIJ2_MNyg-1RIYRkTEKVh9-5x0,Tesla Supercharger,30.2471801,-97.7500043,23.2,0.28,False,,False,google_places,ChIJ2_MNyg-1RIYRkTEKVh9-5x0
